item1571;Einfacher Buchen-Magiestab (Wasser);100% Schadenswirkung, 100% Heilwirkung, 100% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 1;2000 Gold
item1603;Einfacher Birken-Wächterstab (Wasser);84% Schadenswirkung, 145% Heilwirkung, 132% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 6;4000 Gold
item1574;Verstärkter Birken-Magiestab (Wasser);133% Schadenswirkung, 133% Heilwirkung, 133% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 9;6100 Gold
item1584;Verstärkter Birken-Runenstab (Wasser);160% Schadenswirkung, 93% Heilwirkung, 146% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 9;6100 Gold
item1594;Verstärkter Birken-Spiralstab (Wasser);120% Schadenswirkung, 120% Heilwirkung, 173% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 9;6100 Gold
item1604;Verstärkter Birken-Wächterstab (Wasser);93% Schadenswirkung, 160% Heilwirkung, 146% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 9;6100 Gold
item1575;Einfacher Eichen-Magiestab (Wasser);141% Schadenswirkung, 141% Heilwirkung, 141% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 11;8100 Gold
item1585;Einfacher Eichen-Runenstab (Wasser);169% Schadenswirkung, 99% Heilwirkung, 155% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 11;8100 Gold
item1595;Einfacher Eichen-Spiralstab (Wasser);127% Schadenswirkung, 127% Heilwirkung, 184% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 11;8100 Gold
item1605;Einfacher Eichen-Wächterstab (Wasser);99% Schadenswirkung, 169% Heilwirkung, 155% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 11;8100 Gold
item1576;Verstärkter Eichen-Magiestab (Wasser);154% Schadenswirkung, 154% Heilwirkung, 154% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 14;12300 Gold
item1586;Verstärkter Eichen-Runenstab (Wasser);184% Schadenswirkung, 107% Heilwirkung, 169% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 14;12300 Gold
item1596;Verstärkter Eichen-Spiralstab (Wasser);138% Schadenswirkung, 138% Heilwirkung, 200% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 14;12300 Gold
item1606;Verstärkter Eichen-Wächterstab (Wasser);107% Schadenswirkung, 184% Heilwirkung, 169% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 14;12300 Gold
item1577;Einfacher Eschen-Magiestab (Wasser);162% Schadenswirkung, 162% Heilwirkung, 162% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 16;16300 Gold
item1587;Einfacher Eschen-Runenstab (Wasser);195% Schadenswirkung, 113% Heilwirkung, 178% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 16;16300 Gold
item1597;Einfacher Eschen-Spiralstab (Wasser);146% Schadenswirkung, 146% Heilwirkung, 211% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 16;16300 Gold
item1607;Einfacher Eschen-Wächterstab (Wasser);113% Schadenswirkung, 195% Heilwirkung, 178% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 16;16300 Gold
item1578;Verstärkter Eschen-Magiestab (Wasser);175% Schadenswirkung, 175% Heilwirkung, 175% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 19;24800 Gold
item1588;Verstärkter Eschen-Runenstab (Wasser);210% Schadenswirkung, 122% Heilwirkung, 192% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 19;24800 Gold
item1598;Verstärkter Eschen-Spiralstab (Wasser);157% Schadenswirkung, 157% Heilwirkung, 227% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 19;24800 Gold
item1608;Verstärkter Eschen-Wächterstab (Wasser);122% Schadenswirkung, 210% Heilwirkung, 192% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 19;24800 Gold
item1579;Einfacher Eiben-Magiestab (Wasser);187% Schadenswirkung, 187% Heilwirkung, 187% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 22;37600 Gold
item1589;Einfacher Eiben-Runenstab (Wasser);225% Schadenswirkung, 131% Heilwirkung, 206% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 22;37600 Gold
item1599;Einfacher Eiben-Spiralstab (Wasser);168% Schadenswirkung, 168% Heilwirkung, 243% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 22;37600 Gold
item1609;Einfacher Eiben-Wächterstab (Wasser);131% Schadenswirkung, 225% Heilwirkung, 206% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 22;37600 Gold
item1580;Verstärkter Eiben-Magiestab (Wasser);200% Schadenswirkung, 200% Heilwirkung, 200% Effektwirkung;Kritische Treffer: gering mit geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 4 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;10 Behinderung;0.900 kg, Wassermagie, Stufe 25;57300 Gold
item1590;Verstärkter Eiben-Runenstab (Wasser);240% Schadenswirkung, 140% Heilwirkung, 220% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: mittelmäßig;Gegnerwahl: mittelmäßig mit mittlerem Potenzial;Waffenwechselzeit: 6 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): mittelmäßig;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): hoch;Angriffsgeschwindigkeit: gering;20 Behinderung;1.000 kg, Wassermagie, Stufe 25;57300 Gold
item1600;Verstärkter Eiben-Spiralstab (Wasser);180% Schadenswirkung, 180% Heilwirkung, 260% Effektwirkung;Kritische Treffer: sehr gering mit sehr geringem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: hoch;Gegnerwahl: gut mit hohem Potenzial;Waffenwechselzeit: 3 Sekunden;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: hoch;5 Behinderung;0.800 kg, Wassermagie, Stufe 25;57300 Gold
item1610;Verstärkter Eiben-Wächterstab (Wasser);140% Schadenswirkung, 240% Heilwirkung, 220% Effektwirkung;Kritische Treffer: mittelmäßig mit mittlerem Potenzial;Kritische Treffer (Effektivität): mittelmäßig;Treffsicherheit: sehr hoch;Gegnerwahl: sehr gut mit sehr hohem Potenzial;Waffenwechselzeit: 5 Sekunden;Behinderungstoleranz (Fernkampf - Schaden): gering;Behinderungstoleranz (Fernkampf - Heilung): hoch;Behinderungstoleranz (Fernkampf - De-/Buffs): mittelmäßig;Angriffsgeschwindigkeit: sehr gering;15 Behinderung;1.200 kg, Wassermagie, Stufe 25;57300 Gold
